company,company_plot_number,company_stand_number,plot_program,establishment_year,establishment_month,establishment_day,fmu,fma,ats_township,ats_range,ats_meridian,ats_section,opening_number,sampling_unit_number,topographic_position,elevation,slope,aspect,x_coord,y_coord,utm_zone,datum,latitude,longitude,natural_subregion,ecosite_guide,ecosite,ecosite_phase,plot_comment,shared
GOA,77.1,77,PGYI,1961,9,2,G16,FMA6900016,63,7,6,22,NA,.,5,1076,5,E,371546.17745,6037185.58748,UTM11,NAD83,54.466056,-118.981976,UF,WC,f,f1,NA,2
GOA,77.1,77,PGYI,1961,9,2,G16,FMA6900016,63,7,6,22,NA,.,5,1076,5,E,371546.17745,6037185.58748,UTM11,NAD83,54.466056,-118.981976,UF,WC,f,f1,NA,2
GOA,80.1,80,PGYI,1961,8,28,G16,FMA6900016,63,7,6,16,NA,.,5,1082,7,S,371207.44285,6034858.38911,UTM11,NAD83,54.445068,-118.986186,UF,WC,d,d1,NA,2
GOA,80.1,80,PGYI,1961,8,28,G16,FMA6900016,63,7,6,16,NA,.,5,1082,7,S,371207.44285,6034858.38911,UTM11,NAD83,54.445068,-118.986186,UF,WC,d,d1,NA,2
GOA,8.3,8,MPB,1960,8,3,W13,FMA9700034,61,16,5,26,NA,.,6,942,3,NW,545568.16505,6017590.22094,UTM11,NAD83,54.304165,-116.299708,LF,WC,f,f1,NA,2
GOA,8.3,8,MPB,1960,8,3,W13,FMA9700034,61,16,5,26,NA,.,6,942,3,NW,545568.16505,6017590.22094,UTM11,NAD83,54.304165,-116.299708,LF,WC,f,f1,NA,2
GOA,84.2,84,PGYI,1961,9,7,G16,FMA6900016,65,5,6,3,NA,.,2,854,1,NW,392010.58573,6051383.69168,UTM11,NAD83,54.598366,-118.671588,LF,WC,d,d1,NA,2
GOA,84.2,84,PGYI,1961,9,7,G16,FMA6900016,65,5,6,3,NA,.,2,854,1,NW,392010.58573,6051383.69168,UTM11,NAD83,54.598366,-118.671588,LF,WC,d,d1,NA,2
GOA,85.1,85,MPB,1961,9,4,G16,FMA6900016,65,5,6,3,NA,.,7,854,1,W,391777.57925,6050738.20069,UTM11,NAD83,54.592518,-118.674955,LF,WC,c,c1,NA,2
GOA,85.1,85,MPB,1961,9,4,G16,FMA6900016,65,5,6,3,NA,.,7,854,1,W,391777.57925,6050738.20069,UTM11,NAD83,54.592518,-118.674955,LF,WC,c,c1,NA,2
GOA,85.4,85,MPB,1961,9,4,G16,FMA6900016,65,5,6,3,NA,.,6,854,3,SW,391757.27928,6050778.6053,UTM11,NAD83,54.592877,-118.675283,LF,WC,e,e1,NA,2
GOA,85.4,85,MPB,1961,9,4,G16,FMA6900016,65,5,6,3,NA,.,6,854,3,SW,391757.27928,6050778.6053,UTM11,NAD83,54.592877,-118.675283,LF,WC,e,e1,NA,2
